,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
689,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,178,4.15,200026,United State,1967,"Newbery Medal (1968), Lewis Carroll Shelf Award (1968), Vermont Golden Dome Book Award Nominee (1969), William Allen White Children's Book Award (1970)",0,None,https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler
690,Prodigal Summer,Barbara Kingsolver,444,4.01,103490,United State,2000,No Award,0,"Fiction, Environment > NatureContemporary",https://www.goodreads.com/book/show/14249.Prodigal_Summer
691,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,284,3.83,184518,United State,2006,"Georgia Peach Book Award Nominee for Honor book (2007), Lincoln Award Nominee (2010)",1,"Young Adult, Romance, Mystery",https://www.goodreads.com/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You
692,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,352,3.71,4645,None,2014,No Award,0,HistoryNonfictionWar > World War I,https://www.goodreads.com/book/show/18300212-the-trigger
693,Ugly Love,Colleen Hoover,337,4.27,457230,United State,2014,None,None,"Romance, New Adult, Contemporary, ",https://www.goodreads.com/book/show/17788401-ugly-love
694,"Tempted (House of Night, #6)",P.C. Cast,319,3.95,160424,United State,2009,Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2009),1,None,https://www.goodreads.com/book/show/6262365-tempted
695,Grimm's Fairy Tales,Jacob Grimm,518,4.13,25845,None,2012,No Award,0,ClassicsFantasyFiction,https://www.goodreads.com/book/show/19351490-grimm-s-fairy-tales
696,Corelli's Mandolin,Louis de BerniÇùres,437,3.99,81609,Greece,1995,None,None,"Fiction, Historical > Historical Fiction, Romance",https://www.goodreads.com/book/show/3388.Corelli_s_Mandolin
697,Cosmos,Carl Sagan,365,4.37,130748,None,2002,"Hugo Award for Best Non-Fiction Book (1981), National Book Award Finalist for Science (Hardcover) (1981)",0,None,https://www.goodreads.com/book/show/55030.Cosmos
698,Howl and Other Poems,Allen Ginsberg,56,4.13,101023,None,1956,No Award,0,"Poetry, ClassicsFiction",https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems
699,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,294,3.81,662345,United State,2001,"Book Sense Book of the Year Award for Children's Literature (2002), South Carolina Book Award Nominee for Young Adult Book Award (2004), Maryland Black-Eyed Susan Book Award for High School (2003), Rhode Island Teen Book Award (2002), Evergreen Teen Book Award (2004)   Pacific Northwest Library Association Young Reader's Choice Award for Senior (2004), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2003), Iowa Teen Award (2004), Eliot Rosewater Indiana High School Book Award (2004), Lincoln Award Nominee (2007), Missouri Gateway Readers Award (2004), Oklahoma Sequoyah Award for YA (2004)",1,"Young Adult, Fiction, Womens Fiction > Chick Lit, ",https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants
700,The Bluest Eye,Toni Morrison,216,4.09,201981,United States,1970,None,None,"Fiction, Classics, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/11337.The_Bluest_Eye
701,Jitterbug Perfume,Tom Robbins,342,4.21,72958,None,1984,No Award,0,"Fiction, FantasyHumor",https://www.goodreads.com/book/show/8682.Jitterbug_Perfume
702,"Prodigy (Legend, #2)",Marie Lu,371,4.25,232548,United States,2013,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),1,"Science Fiction > Dystopia, Young Adult, Romance, ",https://www.goodreads.com/book/show/13414446-prodigy
703,A Heartbreaking Work of Staggering Genius,Dave Eggers,437,3.68,177722,None,2000,"Pulitzer Prize Nominee for General Nonfiction (2001), Guardian First Book Award Nominee (2000), Borders Original Voices Award for Nonfiction (2000), Puddly Award for Memoir (2001)",0,"Fiction, ContemporaryLiterature",https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius
704,Under the Dome,Stephen King,1074,3.91,276879,United States,2009,"Locus Award Nominee for Best Science Fiction Novel (2010), British Fantasy Award Nominee for Best Novel (2010), Goodreads Choice Award Nominee for Mystery/Thriller (2009)",0,"Horror, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/6320534-under-the-dome
705,The Aeneid,Virgil,442,3.85,115333,Italy,-19,No Award,0,"Classics, Poetry, Fiction, ",https://www.goodreads.com/book/show/12914.The_Aeneid
706,The Big Sleep,Raymond Chandler,231,3.96,141475,United States,1939,"Anthony Award Nominee for Best Novel of the Century (2000), CWA Best Ever Nominee for Crime Novel (2013)",1,"Mystery, Fiction, Classics, ",https://www.goodreads.com/book/show/2052.The_Big_Sleep
707,The Book of Mormon: Another Testament of Jesus Christ,Anonymous,531,4.29,80387,None,1830,No Award,0,"Religion, NonfictionChristianity > Lds",https://www.goodreads.com/book/show/323355.The_Book_of_Mormon
708,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,303,4.22,366161,Georgia,2015,"National Book Award Nominee for Young People's Literature (2015), William C. Morris YA Debut Award (2016), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award (2016)   Deutscher Jugendliteraturpreis for Preis der Jugendjury (2017), Lincoln Award Nominee (2017), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015), Hea Noorteraamat (2017)",1,None,https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda
709,The Sirens of Titan,Kurt Vonnegut Jr.,224,4.14,125830,United States,1959,None,None,"Science Fiction, Fiction, Classics",https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
710,Sapiens: A Brief History of Humankind,Yuval Noah Harari,512,4.4,737265,None,2011,"Royal Society of Biology General Book Prize Nominee (2015), J. A. Hollon palkinto (2017)",0,"Nonfiction, History, Science, ",https://www.goodreads.com/book/show/23692271-sapiens
711,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,509,4.21,80446,None,1970,No Award,0,"History, Nonfiction, North American Hi... > American History",https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee
712,Where the Crawdads Sing,Delia Owens,384,4.46,1597821,United States,2018,"Edgar Award Nominee for Best First Novel by an American Author (2019), ‘?ª†ñ?†ÏõŠü? for 1st place in Translated Fiction (2021), Goodreads Choice Award Nominee for Historical Fiction (2018)",0,None,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing
713,The Ocean at the End of the Lane,Neil Gaiman,181,4.01,536475,England,2018,"Nebula Award Nominee for Best Novel (2013), Locus Award for Best Fantasy Novel (2014), World Fantasy Award Nominee for Best Novel (2014), Mythopoeic Fantasy Award Nominee for Adult Literature (2014), Specsavers National Book Award for Book of the Year (2013)   Goodreads Choice Award for Fantasy (2013 and Nominee for Best of the Best  (2018)",0,None,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane
714,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,446,3.97,261616,United States,2003,Lincoln Award Nominee (2006),1,"Horror, Fiction, Mystery",https://www.goodreads.com/book/show/14995.Odd_Thomas
715,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,461,4.19,239197,None,2013,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),1,"Science Fiction > Dystopia, Young Adult, Fantasy, ",https://www.goodreads.com/book/show/13104080-unravel-me
716,Circe,Madeline Miller,393,4.26,616354,Greece,2018,None,None,"Fantasy, Fiction, Fantasy > Mythology, ",https://www.goodreads.com/book/show/35959740-circe
717,The Elegance of the Hedgehog,Muriel Barbery,325,3.78,165847,France,2006,"BTBA Best Translated Book Award Nominee for Fiction Longlist (2009), Prix des Libraires (2007), Brive-La-Gaillarde Readers Prize (2007), French-American Foundation Translation Prize Nominee for Fiction (2008), Prix Georges Brassens (2006)   International Dublin Literary Award Nominee for Shortlist (2010)",0,"Fiction, Cultural > FranceContemporary",https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog
718,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,268,3.99,781875,None,2005,"Book Sense Book of the Year Award for Adult Nonfiction (2006), Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2005), The Quill Award for Business (2005)",1,"Nonfiction, Economics, Business, ",https://www.goodreads.com/book/show/1202.Freakonomics
719,Angle of Repose,Wallace Stegner,569,4.23,56566,United States,1971,Pulitzer Prize for Fiction (1972),0,"Fiction, Historical > Historical FictionClassics",https://www.goodreads.com/book/show/292408.Angle_of_Repose
720,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,235,3.8,248657,Botswana,1998,Martin Beck Award (2004),1,"Mystery, Fiction, Cultural > Africa, ",https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency
721,"Love Story (Love Story, #1)",Erich Segal,224,3.63,56071,United States,1970,No Award,1,RomanceFictionClassics,https://www.goodreads.com/book/show/73968.Love_Story
722,The Holy Bible: King James Version,Anonymous,1590,4.42,245870,None,1611,No Award,0,"Religion, ClassicsNonfiction",https://www.goodreads.com/book/show/1923820.The_Holy_Bible
723,Ivanhoe,Walter Scott,496,3.75,91023,England,1819,No Award,1,None,https://www.goodreads.com/book/show/6440.Ivanhoe
724,"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,455,4.29,129547,United States,2007,"All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance (2008), RITA Award by Romance Writers of America for Best Paranormal Romance (2008)",1,None,https://www.goodreads.com/book/show/42898.Lover_Revealed
725,Anthem,Ayn Rand,105,3.63,141171,None,1938,"Prometheus Hall of Fame Award (1987), Retro Hugo Award Nominee for Best Novella (2014)",0,"Fiction, Classics, Science Fiction > Dystopia",https://www.goodreads.com/book/show/667.Anthem
726,The Magic Mountain,Thomas Mann,706,4.11,42477,Switzerland,1924,Helen and Kurt Wolff Translator's Prize for John E. Woods (1996),0,None,https://www.goodreads.com/book/show/88077.The_Magic_Mountain
727,Message in a Bottle,Nicholas Sparks,342,3.97,223444,United States,1998,No Award,0,"Romance, Fiction, Womens Fiction > Chick Lit",https://www.goodreads.com/book/show/3478.Message_in_a_Bottle
728,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,498,4.05,164360,United States,1994,"Anthony Award for Best First Novel (1995), Grand Prix de LittÇ¸rature PoliciÇùre for Romans Ç¸trangers (1996), Lambda Literary Award Nominee for Gay Men's Mystery (1995), Palle Rosenkrantz Prisen (1997)",1,"Historical > Historical Fiction, Mystery, Fiction, ",https://www.goodreads.com/book/show/40024.The_Alienist
729,It's Kind of a Funny Story,Ned Vizzini,444,4.1,231708,United States,2006,None,None,"Young Adult, Fiction, Contemporary, ",https://www.goodreads.com/book/show/248704.It_s_Kind_of_a_Funny_Story
730,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,368,3.67,690618,United Kingdom,2000,No Award,1,"Womens Fiction > Chick Lit, Fiction, Romance, ",https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic
731,One Day,David Nicholls,435,3.8,306047,United Kingdom,2009,None,None,"Fiction, Romance, Contemporary",https://www.goodreads.com/book/show/6280118-one-day
732,"The Death Cure (The Maze Runner, #3)",James Dashner,325,3.78,386224,None,2011,No Award,1,None,https://www.goodreads.com/book/show/7864437-the-death-cure
733,The Corrections,Jonathan Franzen,653,3.81,168488,United States,2001,"Pulitzer Prize Nominee for Fiction (2002), National Book Award for Fiction (2001), James Tait Black Memorial Prize for Fiction (2002), PEN/Faulkner Award for Fiction Nominee (2002), Audie Award for Fiction, Abridged (2002)   Los Angeles Times Book Prize Nominee for Fiction (2001), National Book Critics Circle Award Nominee for Fiction (2001), International Dublin Literary Award Nominee for Shortlist (2003)",0,"Fiction, ContemporaryNovels",https://www.goodreads.com/book/show/3805.The_Corrections
734,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,334,3.98,100268,None,1959,"Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)",1,"Science Fiction, Fiction, Apocalyptic > Post Apocalyptic",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
735,"Call Me By Your Name (Call Me By Your Name, #1)",AndrÇ¸ Aciman,248,4.15,332176,Italy,2007,No Award,1,"Fiction, Romance, LGBT, ",https://www.goodreads.com/book/show/36336078-call-me-by-your-name
736,Digital Fortress,Dan Brown,510,3.68,597365,United States,1998,No Award,0,"Fiction, Thriller, Mystery, ",https://www.goodreads.com/book/show/11125.Digital_Fortress
737,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,469,4.3,162866,Netherlands,1999,None,None,"Science Fiction, Fiction, Young Adult",https://www.goodreads.com/book/show/9532.Ender_s_Shadow
738,"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,239,3.91,99189,United States,2006,No Award,1,"Paranormal > Vampires, Young Adult, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/27266.Glass_Houses
739,"Worm Holes (Quantum Roots, #2)",Kyle Keyes,296,4.3,6777,None,2017,No Award,1,FictionNovelsYoung Adult,https://www.goodreads.com/book/show/34384161-worm-holes
740,The Shell Seekers,Rosamunde Pilcher,530,4.17,100696,United Kingdom,1987,No Award,0,FictionHistorical > Historical FictionRomance,https://www.goodreads.com/book/show/37095.The_Shell_Seekers
741,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,214,4.12,178246,Egypt,1937,No Award,1,"Mystery, Fiction, Classics, ",https://www.goodreads.com/book/show/131359.Death_on_the_Nile
742,The Witch of Blackbird Pond,Elizabeth George Speare,256,3.99,144731,United States,1958,"Newbery Medal (1959), Vermont Golden Dome Book Award Nominee (1960)",0,"Historical > Historical Fiction, Young Adult, Fiction, ",https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond
743,"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,426,4.23,145557,None,2012,No Award,1,None,https://www.goodreads.com/book/show/16081272-the-edge-of-never
744,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,274,4.01,229687,United States,2003,No Award,1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/140082.Club_Dead
745,Walk Two Moons,Sharon Creech,280,3.97,160670,None,1994,"Newbery Medal (1995), Vermont Golden Dome Book Award Nominee (1996), W.H. Smith's Mind-Boggling Books Award (1996), Oklahoma Sequoyah Award for YA (1997)",0,"Young Adult, Fiction, Childrens > Middle Grade",https://www.goodreads.com/book/show/53496.Walk_Two_Moons
746,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,572,4.5,316149,None,2008,"David Gemmell Legend Award Nominee (2009), Whitney Award for Speculative Fiction (2008), Grand Prix de l'Imaginaire Nominee for Traduction (2012)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy",https://www.goodreads.com/book/show/2767793-the-hero-of-ages
747,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,527,4.36,110602,United States,2009,"All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2010), P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Overall Paranormal Romance AND Best Vampire Romance (2009)",1,"Romance > Paranormal Romance, Fantasy > Paranormal, Romance, ",https://www.goodreads.com/book/show/5098079-lover-avenged
748,Song of Solomon,Toni Morrison,337,4.11,96702,None,1977,"Janet Heidinger Kafka Prize (1977), National Book Critics Circle Award for Fiction (1977)",0,"Fiction, Classics, Historical > Historical Fiction",https://www.goodreads.com/book/show/11334.Song_of_Solomon
749,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,291,3.96,244874,United States,2002,None,None,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas
750,The Jungle Books,Rudyard Kipling,368,4.01,85971,None,1895,No Award,1,"Classics, FictionChildrens",https://www.goodreads.com/book/show/41684.The_Jungle_Books
751,Battle Royale,Koushun Takami,617,4.21,67407,Japan,1999,No Award,0,"Fiction, Horror, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/57891.Battle_Royale
752,Geek Love,Katherine Dunn,348,3.96,63895,United States,1989,National Book Award Finalist for Fiction (1989),0,"Fiction, HorrorFantasy",https://www.goodreads.com/book/show/13872.Geek_Love
753,Jude the Obscure,Thomas Hardy,310,3.82,67414,None,1895,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/50798.Jude_the_Obscure
754,How to Win Friends and Influence People,Dale Carnegie,288,4.21,776242,None,1936,No Award,0,"Nonfiction, Self Help, Business, ",https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People
755,The Story of My Life,Helen Keller,240,4.07,141989,United States,1903,No Award,0,"Nonfiction, Biography, Classics",https://www.goodreads.com/book/show/821611.The_Story_of_My_Life
756,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,64,4.15,184114,None,1960,No Award,0,"Childrens, Childrens > Picture Books, Fiction",https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish
757,"Red Rising (Red Rising Saga, #1)",Pierce Brown,382,4.25,293633,Mars,2014,"Goodreads Choice Award for Debut Goodreads Author & Nominee for Young Adult Fantasy & Science Fiction (2014) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2014)",1,"Science Fiction, Fantasy, Young Adult, ",https://www.goodreads.com/book/show/15839976-red-rising
758,The Power of Myth,Joseph Campbell,320,4.25,48247,None,1988,No Award,1,"Nonfiction, Fantasy > Mythology, Philosophy",https://www.goodreads.com/book/show/35519.The_Power_of_Myth
759,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,336,4.12,1729,Sierra Leone,2010,No Award,0,Cultural > AfricaTravelNonfiction,https://www.goodreads.com/book/show/7940583-chasing-the-devil
760,The Portrait of a Lady,Henry James,797,3.78,76121,United Kingdom,1881,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/264.The_Portrait_of_a_Lady
761,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,400,4.14,117496,Japan,1985,"Tanizaki Prize Šøú†ï?‘«Ï„÷?‚Ÿ?Šü? (1985), TÇÏhtifantasia Award Nominee (2016), Seiun Award ‘??‚?ýŠü? Nominee for Best Japanese Novel (1986)",0,"Fiction, FantasyMagical Realism",https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
762,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,450,4.17,195316,None,2006,None,None,"Nonfiction, Food and Drink > Food, Science, ",https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma
763,My Name Is Asher Lev,Chaim Potok,369,4.22,37950,United States,1972,No Award,1,"Fiction, ClassicsHistorical > Historical Fiction",https://www.goodreads.com/book/show/11507.My_Name_Is_Asher_Lev
764,The Moon Is a Harsh Mistress,Robert A. Heinlein,288,4.16,122320,Luna,1966,"Hugo Award for Best Novel (1967), Nebula Award Nominee for Best Novel (1966), Prometheus Hall of Fame Award (1983)",0,"Science Fiction, Fiction, Classics",https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
765,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,343,4.11,132355,United Kingdom,2009,No Award,1,"Fantasy, Young Adult, Science Fiction > Time Travel, ",https://www.goodreads.com/book/show/6325285-rubinrot
766,"Princess Academy (Princess Academy, #1)",Shannon Hale,314,4.01,112653,Mount Eskel,2005,"Newbery Medal Nominee (2006), Utah Book Award for Children/Young Adults (2005), Vermont Golden Dome Book Award Nominee (2007), AML Award for Young Adult Literature (2005), Rebecca Caudill Young Readers' Book Award Nominee (2008)",1,"Fantasy, Young Adult, Childrens > Middle Grade",https://www.goodreads.com/book/show/85990.Princess_Academy
767,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,293,3.92,112941,United States,1962,No Award,1,"Horror, Fantasy, Fiction, ",https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes
768,Ficciones,Jorge Luis Borges,174,4.43,56040,None,1944,Premio Formentor de las Letras for International (1961),0,"Fiction, Short Stories, Classics",https://www.goodreads.com/book/show/426504.Ficciones
769,The Glass Castle,Jeannette Walls,288,4.29,1022165,United States,2005,"ALA Alex Award (2006), Lincoln Award Nominee (2008)",0,"Nonfiction, Autobiography > Memoir, Biography, ",https://www.goodreads.com/book/show/7445.The_Glass_Castle
770,Still Alice,Lisa Genova,292,4.31,317645,United States,2007,Next Generation Indie Book Awards Nominee for General Fiction/Novel (2008),0,"Fiction, ContemporaryPsychology",https://www.goodreads.com/book/show/2153405.Still_Alice
771,Because of Winn-Dixie,Kate DiCamillo,182,4.07,228865,United States,2000,None,None,"Fiction, Childrens, Childrens > Middle Grade",https://www.goodreads.com/book/show/357664.Because_of_Winn_Dixie
772,Cryptonomicon,Neal Stephenson,1152,4.24,105367,United Kingdom,1999,"Hugo Award Nominee for Best Novel (2000), Prometheus Hall of Fame Award (2013), Locus Award for Best Science Fiction Novel (2000), Arthur C. Clarke Award Nominee (2000), Prometheus Award Nominee for Best Novel (2000)",0,"Fiction, Science Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/816.Cryptonomicon
773,Howards End,E.M. Forster,318,3.95,83336,None,1910,No Award,0,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/38374795-howards-end
774,The Namesake,Jhumpa Lahiri,291,4,249993,None,2003,"Orange Prize Nominee for Fiction Longlist (2004), Los Angeles Times Book Prize Nominee for Fiction (2003)",0,"Fiction, Cultural > IndiaContemporary",https://www.goodreads.com/book/show/33917.The_Namesake
775,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,228,3.99,345827,Discword,1983,Margaret A. Edwards Award (2011),1,"Fantasy, Fiction, Humor, ",https://www.goodreads.com/book/show/34497.The_Color_of_Magic
776,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,528,4.42,251801,Greece,2014,Goodreads Choice Award for Middle Grade & Children's (2014),1,"Fantasy, Fantasy > Mythology, Young Adult, ",https://www.goodreads.com/book/show/18705209-the-blood-of-olympus
777,The Invention of Hugo Cabret,Brian Selznick,534,4.21,175071,France,2007,"Caldecott Medal (2008), Book Sense Book of the Year Award for Children's Literature (2008), Flicker Tale Children's Book Award (2009), Vermont Golden Dome Book Award Nominee (2009), Deutscher Jugendliteraturpreis Nominee for Kinderbuch (2009)   Iowa Children's Choice Award (2010), Boston Author's Club Young Reader Award (2008), NAIBA Book of the Year for Children's Literature (2007), National Book Award Finalist for Young People's Literature (2007), Rebecca Caudill Young Readers' Book Award Nominee (2009), ë?õé¸ƒ??ëóï¦ ëóñë?îë? for ë?ïõë? úë?õê?ê? (2012)",0,"Historical > Historical Fiction, Fiction, Young Adult, ",https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret
778,"Antigone (The Theban Plays, #3)",Sophocles,80,3.67,122015,None,-441,No Award,1,"Classics, Plays, Drama",https://www.goodreads.com/book/show/7728.Antigone
779,Around the World in Eighty Days,Jules Verne,252,3.94,210408,Egypt,1872,None,None,"Classics, Fiction, Adventure, ",https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days
780,An Abundance of Katherines,John Green,229,3.54,492560,United States,2016,None,None,None,https://www.goodreads.com/book/show/49750.An_Abundance_of_Katherines
781,"The Passage (The Passage, #1)",Justin Cronin,766,4.03,200211,United States,2010,"Locus Award Nominee for Best SF Novel (2011), Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)",1,"Horror, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/6690798-the-passage
782,Starship Troopers,Robert A. Heinlein,264,4,208606,None,1959,Hugo Award for Best Novel (1960),0,"Science Fiction, Fiction, Classics",https://www.goodreads.com/book/show/17214.Starship_Troopers
783,Choke,Chuck Palahniuk,293,3.7,198293,United States,2001,No Award,0,"Fiction, ContemporaryHumor",https://www.goodreads.com/book/show/29059.Choke
784,The Sea of Tranquility,Katja Millay,449,4.29,82586,United States,2012,"ALA Alex Award (2014), Goodreads Choice Award Nominee for Young Adult Fiction (2012)",0,"Young Adult, Romance, Contemporary",https://www.goodreads.com/book/show/16151178-the-sea-of-tranquility
785,"Small Gods (Discworld, #13)",Terry Pratchett,400,4.3,108062,Discworld,1992,No Award,1,"Fantasy, Fiction, Humor, ",https://www.goodreads.com/book/show/34484.Small_Gods
786,"Mary Poppins (Mary Poppins, #1)",P.L. Travers,209,4.02,123603,United Kingdom,1934,Nene Award (1965),1,None,https://www.goodreads.com/book/show/152380.Mary_Poppins
787,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,362,3.88,164391,United States,2010,"Goodreads Choice Award Nominee for Young Adult Fantasy, and for Favorite Book and for Goodreads Author (2010)",1,"Young Adult, Fantasy, Romance, ",https://www.goodreads.com/book/show/6654313-linger
788,"Finale (Hush, Hush, #4)",Becca Fitzpatrick,464,4.14,159118,United States,2012,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012),1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/12751687-finale
789,On Writing: A Memoir of the Craft,Stephen King,320,4.32,251705,None,2000,"Bram Stoker Award for Best Non-Fiction (2000), Locus Award for Best Non-Fiction (2001), Puddly Award for Writing (2001)",0,"Nonfiction, Language > Writing, Autobiography > Memoir, ",https://www.goodreads.com/book/show/10569.On_Writing
790,Survivor,Chuck Palahniuk,304,3.92,113284,None,1999,Oregon Book Award Nominee for Fiction (Finalist) (1999),0,"Fiction, ContemporaryThriller",https://www.goodreads.com/book/show/36236123-survivor
791,Sharp Objects,Gillian Flynn,254,4,814848,United States,2006,"Barry Award Nominee for Best First Novel (2007), CWA New Blood Dagger (2007), Edgar Award Nominee for Best First Novel (2007), CWA Ian Fleming Steel Dagger (2007)",0,"Mystery, Fiction, Thriller, ",https://www.goodreads.com/book/show/18045891-sharp-objects
792,"Fire (Graceling Realm, #2)",Kristin Cashore,480,4.1,174876,None,2009,"Milwaukee County Teen Book Award Nominee (2011), Amelia Elizabeth Walden Award (2010), CYBILS Award for Young Adult Fantasy & Science Fiction (2009), David Gemmell Ravenheart Award Nominee for Best Fantasy Cover Art (2010)",1,None,https://www.goodreads.com/book/show/6137154-fire
793,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,372,4.14,628147,None,1988,None,None,"Self Help, Nonfiction, Business, ",https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People
794,Shutter Island,Dennis Lehane,369,4.09,179872,United States,2003,"Barry Award Nominee for Best Novel (2004), Anthony Award Nominee for Best Novel (2004), Hammett Prize Nominee (2003), Grand Prix des lectrices de Elle for roman policier (2004)",0,"Mystery, Fiction, Thriller, ",https://www.goodreads.com/book/show/21686.Shutter_Island
